,Unnamed: 0,Id_Medio,Medio,Placa,Placa2,Placa3,Oferta Unitaria,Asignacion_Cuadrante_T1,Asignacion_Cuadrante_T2,Asignacion_Cuadrante_T3,Asignacion_Cuadrante_T4
0,0,1,RPT,253703,0,0,1.0,1,0,4,4
1,1,2,RPT,542553,0,0,1.0,2,2,0,1
2,2,3,RPT,91858,0,0,1.0,3,0,1,0
3,3,4,RPT,113381,0,0,1.0,4,5,6,0
4,4,5,RPT,581077,0,0,1.0,4,3,0,3
5,5,6,RPT,43460,0,0,1.0,5,1,0,2
6,6,7,RPT,169260,0,0,1.0,6,4,3,5
7,7,8,RPT,472414,0,0,1.0,7,0,4,0
8,8,9,RPT,251270,0,0,1.0,3,4,5,7
9,9,10,RPT,483991,0,0,1.0,2,6,2,4
10,10,11,RPT,945426,0,0,1.0,1,7,7,6
11,11,12,MTT,945,555,6678,1.35,0,0,0,0
12,12,13,MTT,254883,8989,5757,1.35,0,0,0,0
